"","direction","MS","RA","SLE","UC","CD","psoriasis"
"DPM3","DOWN",0,0,0,0,0,0
"DDRGK1","DOWN",0,0,0,0,0,0
"ROMO1","DOWN",0.00158421972685494,0,0,0.00147831941873881,0,0
"GUK1","DOWN",0,0,0,0.00295663883747761,0,0
"PIK3C2A","UP",0.323507506133473,0.0345339522660215,0.0428176740644961,0,0.00443495825621642,0.0345339522660215
"B3GALT6","DOWN",0,0.221787789859809,0,0.221787789859809,0.221787789859809,0.221787789859809
"A1BG","DOWN",0.00886991651243284,0,0,0.0165371154676903,0.00792543466157194,0
"EBPL","DOWN",0,0,0,0,0,0
"SELENOH","DOWN",0,0,0,0,0,0
"TMEM147","DOWN",0,0,0,0,0,0
"RPS23","DOWN",0,0.295514242072528,0,0,0,0.295514242072528
"ARL2BP","DOWN",0,0,0,0,0,0
"ZNRF1","DOWN",0,0,0,0,0,0
"AHR","UP",0.0155293773335779,0.277301717023727,0,0.304881261398349,0.269768745935406,0.277301717023727
"SEPTIN5","DOWN",0,0,0,0,0,0
"MRPL54","DOWN",0.00216542527355098,0,0,0,0,0
"RPS16","DOWN",0,0,0,0,0,0
"RPS19","DOWN",0,0,0,0.00498932803824347,0,0
"TSPO","DOWN",0.380229613737756,0.00394218511663682,0,0.0428507309292762,0.0106956409945753,0.00394218511663682
"GRAP2","DOWN",0.0740582760939826,0.00916872750505909,0,0.0140691156587067,0.00982575835783189,0.00916872750505909
"OST4","DOWN",0.00169225971160176,0,0,0,0,0
